Date,China,France,Germany,"Korea, South",US,United Kingdom
2020-01-22,0.38073434840556686,0.0,0.0,0.01950489363152545,0.0030211238398812706,0.0
2020-01-23,0.44673756573864865,0.0,0.0,0.01950489363152545,0.0030211238398812706,0.0
2020-01-24,0.6391890520677399,0.030640300626696794,0.0,0.0390097872630509,0.006042247679762541,0.0
2020-01-25,0.9768476165296112,0.045960450940045194,0.0,0.0390097872630509,0.006042247679762541,0.0
2020-01-26,1.4416492206962612,0.045960450940045194,0.0,0.05851468089457634,0.015105619199406353,0.0
2020-01-27,1.9988553291292255,0.045960450940045194,0.011935461332196569,0.0780195745261018,0.015105619199406353,0.0
2020-01-28,3.8274918346099773,0.06128060125339359,0.047741845328786274,0.0780195745261018,0.015105619199406353,0.0
2020-01-29,4.229069304278623,0.07660075156674198,0.047741845328786274,0.0780195745261018,0.015105619199406353,0.0
2020-01-30,5.656128340090729,0.07660075156674198,0.047741845328786274,0.0780195745261018,0.015105619199406353,0.0
2020-01-31,6.810142487356507,0.07660075156674198,0.059677306660982844,0.2145538299467799,0.021147866879168892,0.029461150692739923
2020-02-01,8.261518497975539,0.09192090188009039,0.09548369065757255,0.23405872357830537,0.024168990719050164,0.029461150692739923
2020-02-02,11.554036886833169,0.09192090188009039,0.11935461332196569,0.2925734044728817,0.024168990719050164,0.029461150692739923
2020-02-03,13.698099294095172,0.09192090188009039,0.14322553598635882,0.2925734044728817,0.033232362238693976,0.029461150692739923
2020-02-04,16.47092919279338,0.09192090188009039,0.14322553598635882,0.3120782981044072,0.033232362238693976,0.029461150692739923
2020-02-05,19.064508248629114,0.09192090188009039,0.14322553598635882,0.3705929789989835,0.033232362238693976,0.029461150692739923
2020-02-06,21.250951669126042,0.09192090188009039,0.14322553598635882,0.4486125535250853,0.033232362238693976,0.029461150692739923
2020-02-07,23.698628876120225,0.09192090188009039,0.1551609973185554,0.46811744715661074,0.033232362238693976,0.04419172603910988
2020-02-08,25.577288872632366,0.16852165344683237,0.1551609973185554,0.46811744715661074,0.033232362238693976,0.04419172603910988
2020-02-09,27.672022559571754,0.16852165344683237,0.16709645865075196,0.48762234078813615,0.033232362238693976,0.04419172603910988
2020-02-10,29.42631859921419,0.16852165344683237,0.16709645865075196,0.5266321280511871,0.033232362238693976,0.11784460277095969
2020-02-11,30.838092679433373,0.16852165344683237,0.1909673813151451,0.5461370216827126,0.036253486078575245,0.11784460277095969
2020-02-12,31.097242153804316,0.16852165344683237,0.1909673813151451,0.5461370216827126,0.036253486078575245,0.13257517811732963
2020-02-13,41.61329160173617,0.16852165344683237,0.1909673813151451,0.5461370216827126,0.039274609918456514,0.13257517811732963
2020-02-14,46.10359469251205,0.16852165344683237,0.1909673813151451,0.5461370216827126,0.039274609918456514,0.13257517811732963
2020-02-15,47.53134849903292,0.18384180376018078,0.1909673813151451,0.5461370216827126,0.039274609918456514,0.13257517811732963
2020-02-16,48.99036698744842,0.18384180376018078,0.1909673813151451,0.5656419153142379,0.039274609918456514,0.13257517811732963
2020-02-17,50.32502151899421,0.18384180376018078,0.1909673813151451,0.5851468089457634,0.039274609918456514,0.13257517811732963
2020-02-18,51.55962906847723,0.18384180376018078,0.1909673813151451,0.6046517025772888,0.039274609918456514,0.13257517811732963
2020-02-19,51.84309551765509,0.18384180376018078,0.1909673813151451,0.6046517025772888,0.039274609918456514,0.13257517811732963
2020-02-20,52.16130050227142,0.18384180376018078,0.1909673813151451,2.0285089376786463,0.039274609918456514,0.13257517811732963
2020-02-21,52.489927047519295,0.18384180376018078,0.1909673813151451,3.9789983008311913,0.04531685759821905,0.13257517811732963
2020-02-22,53.498039345943525,0.18384180376018078,0.1909673813151451,8.445618942450519,0.04531685759821905,0.13257517811732963
2020-02-23,53.51262953082768,0.18384180376018078,0.1909673813151451,11.741945966178319,0.04531685759821905,0.13257517811732963
2020-02-24,53.66478431604815,0.18384180376018078,0.1909673813151451,16.247576395060698,0.04531685759821905,0.19149747950280951
2020-02-25,54.021201689646794,0.21448210438687754,0.20290284264734165,19.05628107800036,0.04531685759821905,0.19149747950280951
2020-02-26,54.307447221659736,0.27576270564027117,0.3222574559693073,24.59567086935359,0.04531685759821905,0.19149747950280951
2020-02-27,54.6089777092656,0.582165711907239,0.5490312212810422,34.445642153273944,0.04833798143810033,0.2209586301955494
2020-02-28,54.83686250174193,0.8732485678608586,0.5729021439454353,45.582936416874965,0.04833798143810033,0.29461150692739924
2020-02-29,55.134224365095186,1.5320150313348397,0.9429014452435289,61.44041493930516,0.07250697215715049,0.3388032329665091
2020-03-01,55.534412293346286,1.9916195407352915,1.551609973185554,72.87028260737907,0.0906337151964381,0.5303007124693185
2020-03-02,55.67614551793522,2.9261487098495436,1.8977383518192543,84.55371389266281,0.16011956351370735,0.5892230138547985
2020-03-03,55.76299185653138,3.1253106639230728,2.3393504211105274,101.15237837309097,0.22054204031133273,0.751259342664868
2020-03-04,55.849838195127546,4.412203290244339,3.127090869035501,109.63700710280455,0.3141968793476521,1.2668294797878166
2020-03-05,55.95474857215171,5.82165711907239,5.752892362118746,118.74579242872693,0.525675548139341,1.7087467401789156
2020-03-06,56.06104849059341,10.050018605556549,7.996759092571701,128.59576371264728,0.6706894924536421,2.4158143568046735
2020-03-07,56.11663014729495,14.692024150501112,9.536433604425058,137.33395605957068,1.018118734039988,3.049229096698582
2020-03-08,56.15345299485972,17.40369075596378,12.412879785484431,142.6587920209771,1.3625268517864528,4.0361776449053695
2020-03-09,56.17915951108419,18.675263231971694,14.036102526663164,145.8575945765473,1.5679632728983792,4.743245261531127
2020-03-10,56.19791832022096,27.48434966214702,17.3899671610104,146.54026585365068,2.1480190501555834,5.656540933006065
2020-03-11,56.22154052431911,35.12910466850787,22.772860221831053,151.26045011247984,3.3504263384283286,6.761334083983812
2020-03-12,56.22918300211557,35.12910466850787,24.80188864830447,153.48400798647376,4.715974314054663,6.761334083983812
2020-03-13,56.23821502132957,56.39347330343545,43.86282039582239,155.62954628594153,6.5165641226239,11.81392142778871
2020-03-14,56.26044768401019,68.8793958088144,54.72409020812127,157.71656990451476,8.670625420459245,16.85177819624724
2020-03-15,56.27851172243819,69.43092122009493,69.1659984200791,159.1989418205107,8.966695556767611,16.866508771593605
2020-03-16,56.299354843701266,102.38456454410733,86.79467480773344,160.64230394924357,13.172099941882339,22.84712236221981
2020-03-17,56.316724111420505,118.19495966748288,110.48656555214363,162.28071501429173,18.55272150071088,28.871927678885125
2020-03-18,56.347294022606356,139.7810514589908,147.1284318419871,164.0946701220236,26.930297908701643,38.91818006510944
2020-03-19,56.384811640879896,168.0620489374319,182.85126760925144,167.05941395401547,42.75796570583962,40.00824264074081
2020-03-20,56.4501200875042,195.45447769769885,236.89503652143748,168.75633969995818,58.84847127704727,59.12852944032902
2020-03-21,56.48833247648651,221.57533398195784,265.12240257208236,171.6235590637924,77.99937529805463,74.63982528005658
2020-03-22,56.57865266862652,248.845201539718,296.87072971572525,174.78335183209953,101.98105633903216,84.62715536489543
2020-03-23,56.622423223278986,308.2873847555098,346.79676446830354,174.78335183209953,132.46117475959431,99.07784977968437
2020-03-24,56.68703689919453,346.57244038856743,393.703127503836,176.26572374809547,163.46696872829577,120.26041712776437
2020-03-25,56.73567084880838,392.195848021719,445.4672233015725,178.21621311124804,199.52710288111862,142.00274633900642
2020-03-26,56.81973810456946,452.72576190975843,524.4203000140528,180.24472204892666,254.0160924572172,173.99755599132197
2020-03-27,56.89963673607793,511.72366076646307,607.1688534301717,182.01966736939548,308.9219971232194,217.20233348222507
2020-03-28,56.9705033483724,583.7743276901407,688.6164415610809,184.86738183959818,368.74024915286856,255.01572039635676
2020-03-29,57.05596014555102,623.6526789557865,741.1324714227459,186.91539567090837,426.5645594481961,291.3707803511978
2020-03-30,57.10876271941748,692.011189653947,798.3033312039674,188.43677737416735,491.5066375102839,330.74560825204475
2020-03-31,57.165039146827795,809.3175806032557,857.0616073423712,190.87488907810803,570.0890897094356,375.34979040085295
2020-04-01,57.22201034494688,884.7233604455565,929.4382448608112,192.84488333489207,647.1065997595288,439.9286327193389
2020-04-02,57.271339065269494,918.121288128656,1012.0555082022759,194.58081886809788,738.9457433680795,503.38795131150073
2020-04-03,57.32622595126227,998.904440730942,1088.024719581707,196.25823972040905,835.446481061567,569.9112295757074
2020-04-04,57.34845861394288,1064.7504467777135,1146.9023503334327,198.09169972177244,935.6390320873895,625.7106489877569
2020-04-05,57.38945008576027,1094.0425741768358,1195.014194963517,199.671596105926,1019.8498380002401,713.4901474767755
2020-04-06,57.433220640412735,1154.2660850586083,1233.816379754488,200.5883261066077,1109.3868852428013,770.0997485328752
2020-04-07,57.47004348797751,1212.789059255599,1285.007573408279,201.5050561072894,1202.3831192820264,824.1609600540529
2020-04-08,57.53326762247552,1272.4457245757778,1352.2400270925425,202.53881546976027,1298.1346182632235,905.547388842747
2020-04-09,57.58468065492444,1338.460252275996,1410.5447557003226,203.29950632138974,1403.136798442137,970.3324592160822
2020-04-10,57.624977356033064,1405.439949445955,1458.1672464157868,203.82613844944092,1504.3474682019994,1098.974573715931
2020-04-11,57.675695617773215,1453.315419175169,1490.834604082009,204.4112852583867,1595.0265002560357,1176.5899752159542
2020-04-12,57.75906810282553,1864.64613493826,1525.99647316666,205.03544185459552,1681.3067759992048,1255.1334029627988
2020-04-13,57.81395498881831,1921.0549283920088,1552.469326401472,205.52306419538365,1757.720061281322,1319.4176337743575
2020-04-14,57.87856866473385,1997.2113955996638,1567.8302651360088,206.04969632343483,1839.396144292512,1397.121418726459
2020-04-15,57.91330720017231,2046.5422796086455,1608.3392208974842,206.576328451486,1927.3984606244135,1465.441827182923
2020-04-16,57.94596142348447,2237.890957022367,1643.489154520803,207.0054361113796,2021.9535945650173,1534.1157694476994
2020-04-17,58.1939945665151,2268.6691390018837,1687.638425988598,207.43454377127316,2120.8168511012923,1616.960525195684
2020-04-18,58.21275337565187,2268.6997793025103,1710.8528982797204,207.7856318566406,2206.3780993705695,1698.6415654913058
2020-04-19,58.22525924840972,2344.1515195957513,1732.8380180536265,207.9416710056928,2285.102544390196,1784.933275870341
2020-04-20,58.23359649691495,2380.644117642147,1755.2886208194882,208.1952346229026,2367.7030912963896,1853.9312907927379
2020-04-21,58.25860824243065,2423.1575347616895,1769.9214964127611,208.37077866558636,2444.7326858418423,1917.5084539876707
2020-04-22,58.26902980306219,2389.637045876083,1798.0533787727486,208.58533249553312,2529.9313992503344,1983.295203484559
2020-04-23,58.28014613440249,2425.225755053991,1827.6652583379284,208.8584010063745,2633.262897945793,2051.1736946806313
2020-04-24,58.290567695034035,2450.488682920703,1849.9845710291359,209.05344994268975,2742.9025032189243,2130.6304180989514
